 TIME                     Farbe_links [C]     Farbe_rechts [C]    Tape_links [C]      Tape_rechts [C]     
 2018-08-09_14:49:57      9.9e+37             26.7366             26.8099             26.8015             
 2018-08-09_14:50:07      9.9e+37             26.7364             26.8078             26.8014             
 2018-08-09_14:50:18      9.9e+37             26.7369             26.8078             26.7996             
 2018-08-09_14:50:29      9.9e+37             26.7378             26.8033             26.7994             
 2018-08-09_14:50:39      9.9e+37             26.7374             26.8055             26.7991             
 2018-08-09_14:50:50      9.9e+37             26.7342             26.8071             26.8001             
 2018-08-09_14:51:01      9.9e+37             26.7339             26.8049             26.7975             
 2018-08-09_14:51:11      9.9e+37             26.7342             26.8047             26.7974             
 2018-08-09_14:51:22      9.9e+37             26.738              26.8056             26.8006             
 2018-08-09_14:51:33      9.9e+37             26.7343             26.8072             26.7957             
 2018-08-09_14:51:43      9.9e+37             26.7335             26.8008             26.7966             
 2018-08-09_14:51:54      9.9e+37             26.7308             26.7981             26.7909             
 2018-08-09_14:52:05      9.9e+37             26.7264             26.7952             26.7901             
 2018-08-09_14:52:15      9.9e+37             26.7221             26.7925             26.7855             
 2018-08-09_14:52:26      9.9e+37             26.7202             26.788              26.7836             
 2018-08-09_14:52:37      9.9e+37             26.7151             26.7873             26.7799             
 2018-08-09_14:52:47      9.9e+37             26.718              26.7883             26.7801             
 2018-08-09_14:52:58      9.9e+37             26.7181             26.79               26.7797             
 2018-08-09_14:53:09      9.9e+37             26.7191             26.7877             26.7803             
 2018-08-09_14:53:19      9.9e+37             26.7108             26.7839             26.7779             
 2018-08-09_14:53:30      9.9e+37             26.7106             26.7816             26.773              
 2018-08-09_14:53:40      9.9e+37             26.7072             26.7796             26.7702             
 2018-08-09_14:53:51      9.9e+37             26.7017             26.7737             26.7624             
 2018-08-09_14:54:02      9.9e+37             26.6951             26.7691             26.7562             
 2018-08-09_14:54:12      9.9e+37             26.6881             26.762              26.7512             
 2018-08-09_14:54:23      9.9e+37             26.6806             26.7592             26.7432             
 2018-08-09_14:54:34      9.9e+37             26.6771             26.7497             26.7384             
 2018-08-09_14:54:44      9.9e+37             26.67               26.7457             26.7318             
 2018-08-09_14:54:55      9.9e+37             26.6633             26.7381             26.7267             
 2018-08-09_14:55:06      9.9e+37             26.6558             26.7311             26.7192             
 2018-08-09_14:55:16      9.9e+37             26.6497             26.7259             26.7154             
 2018-08-09_14:55:27      9.9e+37             26.6437             26.7212             26.7068             
 2018-08-09_14:55:38      9.9e+37             26.6369             26.7125             26.6994             
 2018-08-09_14:55:48      9.9e+37             26.6261             26.7051             26.6878             
 2018-08-09_14:55:59      9.9e+37             26.6194             26.696              26.6774             
 2018-08-09_14:56:10      9.9e+37             26.6109             26.6873             26.6708             
 2018-08-09_14:56:20      9.9e+37             26.6018             26.6769             26.6614             
 2018-08-09_14:56:31      9.9e+37             26.5942             26.6705             26.653              
 2018-08-09_14:56:42      9.9e+37             26.5813             26.657              26.6448             
 2018-08-09_14:56:52      9.9e+37             26.5741             26.6487             26.6341             
 2018-08-09_14:57:03      9.9e+37             26.5627             26.6375             26.6218             
 2018-08-09_14:57:14      9.9e+37             26.5522             26.6274             26.6094             
 2018-08-09_14:57:24      9.9e+37             26.5398             26.6178             26.6001             
 2018-08-09_14:57:35      9.9e+37             26.5306             26.6051             26.5891             
 2018-08-09_14:57:46      9.9e+37             26.5172             26.5944             26.5779             
 2018-08-09_14:57:56      9.9e+37             26.5073             26.5819             26.5672             
 2018-08-09_14:58:07      9.9e+37             26.4941             26.5724             26.5557             
 2018-08-09_14:58:18      9.9e+37             26.4836             26.5609             26.5431             
 2018-08-09_14:58:28      9.9e+37             26.4748             26.5509             26.5333             
 2018-08-09_14:58:39      9.9e+37             26.4606             26.5379             26.5225             
 2018-08-09_14:58:50      9.9e+37             26.4515             26.5253             26.5108             
 2018-08-09_14:59:00      9.9e+37             26.4384             26.5134             26.4988             
 2018-08-09_14:59:11      9.9e+37             26.4275             26.5037             26.4868             
 2018-08-09_14:59:21      9.9e+37             26.4154             26.4949             26.4773             
 2018-08-09_14:59:32      9.9e+37             26.4065             26.4818             26.464              
 2018-08-09_14:59:43      9.9e+37             26.3951             26.4701             26.4542             
 2018-08-09_14:59:53      9.9e+37             26.3825             26.4583             26.4418             
 2018-08-09_15:00:04      9.9e+37             26.3709             26.4496             26.431              
 2018-08-09_15:00:15      9.9e+37             26.361              26.438              26.4204             
 2018-08-09_15:00:25      9.9e+37             26.3462             26.4265             26.4073             
 2018-08-09_15:00:36      9.9e+37             26.3376             26.4141             26.3961             
